"CUSTOMER","TIME","PRODUCT"
0.0,0.0,"hering"
0.0,1.0,"corned_b"
0.0,2.0,"olives"
0.0,3.0,"ham"
0.0,4.0,"turkey"
0.0,5.0,"bourbon"
0.0,6.0,"ice_crea"
1.0,0.0,"baguette"
1.0,1.0,"soda"
1.0,2.0,"hering"
1.0,3.0,"cracker"
1.0,4.0,"heineken"
1.0,5.0,"olives"
1.0,6.0,"corned_b"
2.0,0.0,"avocado"
2.0,1.0,"cracker"
2.0,2.0,"artichok"
2.0,3.0,"heineken"
2.0,4.0,"ham"
2.0,5.0,"turkey"
2.0,6.0,"sardines"
3.0,0.0,"olives"
3.0,1.0,"bourbon"
3.0,2.0,"coke"
3.0,3.0,"turkey"
3.0,4.0,"ice_crea"
3.0,5.0,"ham"
3.0,6.0,"peppers"
4.0,0.0,"hering"
4.0,1.0,"corned_b"
4.0,2.0,"apples"
4.0,3.0,"olives"
4.0,4.0,"steak"
4.0,5.0,"avocado"
4.0,6.0,"turkey"
5.0,0.0,"sardines"
5.0,1.0,"heineken"
5.0,2.0,"chicken"
5.0,3.0,"coke"
5.0,4.0,"ice_crea"
5.0,5.0,"peppers"
5.0,6.0,"ham"
6.0,0.0,"olives"
6.0,1.0,"bourbon"
6.0,2.0,"coke"
6.0,3.0,"turkey"
6.0,4.0,"ice_crea"
6.0,5.0,"heineken"
6.0,6.0,"apples"
7.0,0.0,"corned_b"
7.0,1.0,"peppers"
7.0,2.0,"bourbon"
7.0,3.0,"cracker"
7.0,4.0,"chicken"
7.0,5.0,"ice_crea"
7.0,6.0,"baguette"
8.0,0.0,"soda"
8.0,1.0,"olives"
8.0,2.0,"bourbon"
8.0,3.0,"cracker"
8.0,4.0,"heineken"
8.0,5.0,"peppers"
8.0,6.0,"baguette"
9.0,0.0,"corned_b"
9.0,1.0,"peppers"
9.0,2.0,"bourbon"
9.0,3.0,"cracker"
9.0,4.0,"chicken"
9.0,5.0,"bordeaux"
9.0,6.0,"hering"
10.0,0.0,"baguette"
10.0,1.0,"sardines"
10.0,2.0,"apples"
10.0,3.0,"peppers"
10.0,4.0,"avocado"
10.0,5.0,"steak"
10.0,6.0,"turkey"
11.0,0.0,"baguette"
11.0,1.0,"hering"
11.0,2.0,"avocado"
11.0,3.0,"artichok"
11.0,4.0,"heineken"
11.0,5.0,"apples"
11.0,6.0,"corned_b"
12.0,0.0,"hering"
12.0,1.0,"corned_b"
12.0,2.0,"apples"
12.0,3.0,"olives"
12.0,4.0,"steak"
12.0,5.0,"sardines"
12.0,6.0,"heineken"
13.0,0.0,"baguette"
13.0,1.0,"sardines"
13.0,2.0,"apples"
13.0,3.0,"peppers"
13.0,4.0,"avocado"
13.0,5.0,"steak"
13.0,6.0,"ice_crea"
14.0,0.0,"hering"
14.0,1.0,"corned_b"
14.0,2.0,"olives"
14.0,3.0,"ham"
14.0,4.0,"turkey"
14.0,5.0,"coke"
14.0,6.0,"apples"
15.0,0.0,"olives"
15.0,1.0,"bourbon"
15.0,2.0,"coke"
15.0,3.0,"turkey"
15.0,4.0,"ice_crea"
15.0,5.0,"artichok"
15.0,6.0,"ham"
16.0,0.0,"baguette"
16.0,1.0,"hering"
16.0,2.0,"avocado"
16.0,3.0,"artichok"
16.0,4.0,"heineken"
16.0,5.0,"coke"
16.0,6.0,"turkey"
17.0,0.0,"sardines"
17.0,1.0,"heineken"
17.0,2.0,"chicken"
17.0,3.0,"coke"
17.0,4.0,"ice_crea"
17.0,5.0,"corned_b"
17.0,6.0,"apples"
18.0,0.0,"soda"
18.0,1.0,"olives"
18.0,2.0,"bourbon"
18.0,3.0,"cracker"
18.0,4.0,"heineken"
18.0,5.0,"baguette"
18.0,6.0,"peppers"
19.0,0.0,"soda"
19.0,1.0,"olives"
19.0,2.0,"bourbon"
19.0,3.0,"cracker"
19.0,4.0,"heineken"
19.0,5.0,"steak"
19.0,6.0,"hering"
20.0,0.0,"hering"
20.0,1.0,"corned_b"
20.0,2.0,"olives"
20.0,3.0,"ham"
20.0,4.0,"turkey"
20.0,5.0,"apples"
20.0,6.0,"baguette"
21.0,0.0,"baguette"
21.0,1.0,"hering"
21.0,2.0,"avocado"
21.0,3.0,"artichok"
21.0,4.0,"heineken"
21.0,5.0,"bourbon"
21.0,6.0,"corned_b"
22.0,0.0,"soda"
22.0,1.0,"olives"
22.0,2.0,"bourbon"
22.0,3.0,"cracker"
22.0,4.0,"heineken"
22.0,5.0,"artichok"
22.0,6.0,"steak"
23.0,0.0,"soda"
23.0,1.0,"olives"
23.0,2.0,"bourbon"
23.0,3.0,"cracker"
23.0,4.0,"heineken"
23.0,5.0,"corned_b"
23.0,6.0,"hering"
24.0,0.0,"sardines"
24.0,1.0,"heineken"
24.0,2.0,"chicken"
24.0,3.0,"coke"
24.0,4.0,"ice_crea"
24.0,5.0,"apples"
24.0,6.0,"baguette"
25.0,0.0,"sardines"
25.0,1.0,"heineken"
25.0,2.0,"chicken"
25.0,3.0,"coke"
25.0,4.0,"ice_crea"
25.0,5.0,"corned_b"
25.0,6.0,"peppers"
26.0,0.0,"olives"
26.0,1.0,"bourbon"
26.0,2.0,"coke"
26.0,3.0,"turkey"
26.0,4.0,"ice_crea"
26.0,5.0,"apples"
26.0,6.0,"baguette"
27.0,0.0,"olives"
27.0,1.0,"bourbon"
27.0,2.0,"coke"
27.0,3.0,"turkey"
27.0,4.0,"ice_crea"
27.0,5.0,"soda"
27.0,6.0,"avocado"
28.0,0.0,"soda"
28.0,1.0,"olives"
28.0,2.0,"bourbon"
28.0,3.0,"cracker"
28.0,4.0,"heineken"
28.0,5.0,"artichok"
28.0,6.0,"peppers"
29.0,0.0,"olives"
29.0,1.0,"bourbon"
29.0,2.0,"coke"
29.0,3.0,"turkey"
29.0,4.0,"ice_crea"
29.0,5.0,"sardines"
29.0,6.0,"soda"
30.0,0.0,"olives"
30.0,1.0,"bourbon"
30.0,2.0,"coke"
30.0,3.0,"turkey"
30.0,4.0,"ice_crea"
30.0,5.0,"soda"
30.0,6.0,"ham"
31.0,0.0,"corned_b"
31.0,1.0,"peppers"
31.0,2.0,"bourbon"
31.0,3.0,"cracker"
31.0,4.0,"chicken"
31.0,5.0,"hering"
31.0,6.0,"coke"
32.0,0.0,"baguette"
32.0,1.0,"sardines"
32.0,2.0,"apples"
32.0,3.0,"peppers"
32.0,4.0,"avocado"
32.0,5.0,"corned_b"
32.0,6.0,"chicken"
33.0,0.0,"soda"
33.0,1.0,"olives"
33.0,2.0,"bourbon"
33.0,3.0,"cracker"
33.0,4.0,"heineken"
33.0,5.0,"bordeaux"
33.0,6.0,"ham"
34.0,0.0,"baguette"
34.0,1.0,"hering"
34.0,2.0,"avocado"
34.0,3.0,"artichok"
34.0,4.0,"heineken"
34.0,5.0,"bordeaux"
34.0,6.0,"soda"
35.0,0.0,"hering"
35.0,1.0,"corned_b"
35.0,2.0,"olives"
35.0,3.0,"ham"
35.0,4.0,"turkey"
35.0,5.0,"cracker"
35.0,6.0,"baguette"
36.0,0.0,"avocado"
36.0,1.0,"cracker"
36.0,2.0,"artichok"
36.0,3.0,"heineken"
36.0,4.0,"ham"
36.0,5.0,"corned_b"
36.0,6.0,"sardines"
37.0,0.0,"soda"
37.0,1.0,"olives"
37.0,2.0,"bourbon"
37.0,3.0,"cracker"
37.0,4.0,"heineken"
37.0,5.0,"apples"
37.0,6.0,"steak"
38.0,0.0,"baguette"
38.0,1.0,"hering"
38.0,2.0,"avocado"
38.0,3.0,"artichok"
38.0,4.0,"heineken"
38.0,5.0,"soda"
38.0,6.0,"ham"
39.0,0.0,"sardines"
39.0,1.0,"heineken"
39.0,2.0,"chicken"
39.0,3.0,"coke"
39.0,4.0,"ice_crea"
39.0,5.0,"artichok"
39.0,6.0,"steak"
40.0,0.0,"soda"
40.0,1.0,"olives"
40.0,2.0,"bourbon"
40.0,3.0,"cracker"
40.0,4.0,"heineken"
40.0,5.0,"artichok"
40.0,6.0,"coke"
41.0,0.0,"hering"
41.0,1.0,"corned_b"
41.0,2.0,"apples"
41.0,3.0,"olives"
41.0,4.0,"steak"
41.0,5.0,"baguette"
41.0,6.0,"chicken"
42.0,0.0,"sardines"
42.0,1.0,"heineken"
42.0,2.0,"chicken"
42.0,3.0,"coke"
42.0,4.0,"ice_crea"
42.0,5.0,"cracker"
42.0,6.0,"steak"
43.0,0.0,"soda"
43.0,1.0,"olives"
43.0,2.0,"bourbon"
43.0,3.0,"cracker"
43.0,4.0,"heineken"
43.0,5.0,"steak"
43.0,6.0,"hering"
44.0,0.0,"hering"
44.0,1.0,"corned_b"
44.0,2.0,"olives"
44.0,3.0,"ham"
44.0,4.0,"turkey"
44.0,5.0,"bourbon"
44.0,6.0,"heineken"
45.0,0.0,"corned_b"
45.0,1.0,"peppers"
45.0,2.0,"bourbon"
45.0,3.0,"cracker"
45.0,4.0,"chicken"
45.0,5.0,"ice_crea"
45.0,6.0,"ice_crea"
46.0,0.0,"baguette"
46.0,1.0,"sardines"
46.0,2.0,"apples"
46.0,3.0,"peppers"
46.0,4.0,"avocado"
46.0,5.0,"chicken"
46.0,6.0,"steak"
47.0,0.0,"baguette"
47.0,1.0,"soda"
47.0,2.0,"hering"
47.0,3.0,"cracker"
47.0,4.0,"heineken"
47.0,5.0,"sardines"
47.0,6.0,"artichok"
48.0,0.0,"corned_b"
48.0,1.0,"peppers"
48.0,2.0,"bourbon"
