"row ID","ID","DemAffl","DemAge","DemCluster","DemClusterGroup","DemGender","DemReg","DemTVReg","PromClass","PromSpend","PromTime","TargetBuy","TargetAmt"
"Row0","0000000140",10.0,76.0,"16","C","U","Midlands","Wales & West","Gold",16000.0,4.0,0.0,0.0
"Row1","0000000620",4.0,49.0,"35","D","U","Midlands","Wales & West","Gold",6000.0,5.0,0.0,0.0
"Row2","0000000868",5.0,70.0,"27","D","F","Midlands","Wales & West","Silver",0.019999999999999997,8.0,1.0,1.0
"Row3","0000001120",10.0,65.0,"51","F","M","Midlands","Midlands","Tin",0.009999999999999998,7.0,1.0,1.0
"Row4","0000002313",11.0,68.0,"04","A","F","Midlands","Midlands","Tin",0.009999999999999998,8.0,0.0,0.0
"Row5","0000002771",9.0,72.0,"28","D","U","North","N West","Platinum",20759.809999999998,3.0,0.0,0.0
"Row6","0000003131",11.0,74.0,"03","A","F","Midlands","East","Tin",0.009999999999999998,8.0,0.0,0.0
"Row7","0000003328",13.0,62.0,"32","D","M","North","N East","Tin",0.009999999999999998,5.0,0.0,0.0
"Row8","0000004529",10.0,62.0,"49","F","M","Midlands","East","Silver",2038.76,3.0,0.0,0.0
"Row9","0000005886",14.0,43.0,"49","F","F",,,"Gold",6000.0,1.0,1.0,1.0
"Row10","0000007420",7.0,60.0,"52","F","F","North","N East","Gold",11000.0,2.0,0.0,0.0
"Row11","0000009814",5.0,,"24","C","M","South East","London","Silver",5000.0,1.0,1.0,1.0
"Row12","0000010006",9.0,51.0,"52","F","F","Midlands","Midlands","Silver",300.0,11.0,0.0,0.0
"Row13","0000010219",6.0,64.0,"19","C","F","South East","S & S East","Tin",0.009999999999999998,9.0,0.0,0.0
"Row14","0000010812",16.0,37.0,"18","C","F","South East","London","Tin",0.009999999999999998,4.0,1.0,2.0
"Row15","0000011207",8.0,54.0,"28","D","M","Midlands","Midlands","Silver",1420.0,1.0,0.0,0.0
"Row16","0000011932",5.0,70.0,"15","B","F","Midlands","Midlands","Gold",6104.66,8.0,0.0,0.0
"Row17","0000014656",,42.0,"19","C","F","Midlands","East","Tin",0.009999999999999998,5.0,1.0,1.0
"Row18","0000015350",7.0,,"40","E","F","Scottish","C Scotland","Tin",0.009999999999999998,5.0,1.0,1.0
"Row19","0000017302",7.0,49.0,"28","D",,"South East","London","Tin",0.009999999999999998,7.0,0.0,0.0
"Row20","0000019496",9.0,66.0,"49","F","F","Midlands","Midlands","Silver",500.0,12.0,0.0,0.0
"Row21","0000019763",9.0,74.0,"08","B","F","Midlands","Wales & West","Gold",6000.0,2.0,0.0,0.0
"Row22","0000020478",6.0,70.0,"37","E",,"Midlands","East","Gold",16000.0,2.0,0.0,0.0
