"iid","gender","age","imprace","imprelig","exphappy","expnum","dec","attr","sinc","intel","fun","amb","shar","satis_2","length"
1,0,21,2,4,3,2,1,6.0,9.0,7.0,7.0,6.0,5.0,6,2
1,0,21,2,4,3,2,1,7.0,8.0,7.0,8.0,5.0,6.0,6,2
1,0,21,2,4,3,2,1,5.0,8.0,9.0,8.0,5.0,7.0,6,2
1,0,21,2,4,3,2,1,7.0,6.0,8.0,7.0,6.0,8.0,6,2
1,0,21,2,4,3,2,1,5.0,6.0,7.0,7.0,6.0,6.0,6,2
1,0,21,2,4,3,2,0,4.0,9.0,7.0,4.0,6.0,4.0,6,2
1,0,21,2,4,3,2,1,7.0,6.0,7.0,4.0,6.0,7.0,6,2
1,0,21,2,4,3,2,0,4.0,9.0,7.0,6.0,5.0,6.0,6,2
1,0,21,2,4,3,2,1,7.0,6.0,8.0,9.0,8.0,8.0,6,2
1,0,21,2,4,3,2,1,5.0,6.0,6.0,8.0,10.0,8.0,6,2
2,0,24,2,5,4,5,0,5.0,7.0,8.0,4.0,6.0,3.0,5,2
2,0,24,2,5,4,5,0,8.0,5.0,6.0,6.0,9.0,6.0,5,2
2,0,24,2,5,4,5,0,5.0,8.0,9.0,6.0,3.0,4.0,5,2
2,0,24,2,5,4,5,1,7.0,9.0,7.0,6.0,5.0,7.0,5,2
2,0,24,2,5,4,5,0,6.0,8.0,7.0,9.0,7.0,8.0,5,2
2,0,24,2,5,4,5,0,8.0,7.0,8.0,3.0,6.0,2.0,5,2
2,0,24,2,5,4,5,1,7.0,5.0,9.0,6.0,7.0,9.0,5,2
2,0,24,2,5,4,5,0,5.0,8.0,7.0,5.0,9.0,5.0,5,2
2,0,24,2,5,4,5,1,7.0,6.0,8.0,9.0,4.0,5.0,5,2
2,0,24,2,5,4,5,1,6.0,7.0,8.0,7.0,9.0,8.0,5,2
3,0,25,8,4,4,2,0,7.0,9.0,10.0,7.0,8.0,9.0,,
3,0,25,8,4,4,2,0,9.0,7.0,9.0,8.0,9.0,7.0,,
3,0,25,8,4,4,2,0,7.0,9.0,9.0,7.0,9.0,7.0,,
3,0,25,8,4,4,2,0,9.0,7.0,9.0,7.0,9.0,7.0,,
3,0,25,8,4,4,2,0,9.0,10.0,10.0,10.0,10.0,10.0,,
3,0,25,8,4,4,2,0,8.0,10.0,10.0,7.0,9.0,9.0,,
3,0,25,8,4,4,2,0,8.0,9.0,10.0,7.0,7.0,9.0,,
3,0,25,8,4,4,2,0,7.0,9.0,9.0,8.0,9.0,7.0,,
3,0,25,8,4,4,2,0,9.0,9.0,9.0,9.0,9.0,9.0,,
3,0,25,8,4,4,2,0,8.0,7.0,9.0,7.0,9.0,7.0,,
4,0,23,1,1,1,2,0,4.0,10.0,8.0,5.0,8.0,7.0,4,3
4,0,23,1,1,1,2,0,8.0,7.0,8.0,10.0,7.0,8.0,4,3
4,0,23,1,1,1,2,0,4.0,7.0,8.0,8.0,6.0,7.0,4,3
4,0,23,1,1,1,2,1,8.0,10.0,7.0,10.0,7.0,10.0,4,3
4,0,23,1,1,1,2,0,6.0,9.0,8.0,9.0,8.0,9.0,4,3
4,0,23,1,1,1,2,0,5.0,10.0,8.0,4.0,8.0,2.0,4,3
4,0,23,1,1,1,2,0,7.0,10.0,10.0,7.0,10.0,5.0,4,3
4,0,23,1,1,1,2,0,5.0,9.0,9.0,5.0,9.0,7.0,4,3
4,0,23,1,1,1,2,1,9.0,8.0,10.0,10.0,7.0,8.0,4,3
4,0,23,1,1,1,2,1,8.0,9.0,10.0,10.0,8.0,8.0,4,3
5,0,21,8,1,7,10,0,5.0,8.0,8.0,2.0,2.0,2.0,7,2
5,0,21,8,1,7,10,0,8.0,6.0,6.0,5.0,5.0,5.0,7,2
5,0,21,8,1,7,10,0,4.0,6.0,8.0,8.0,6.0,5.0,7,2
5,0,21,8,1,7,10,1,8.0,5.0,5.0,7.0,7.0,9.0,7,2
5,0,21,8,1,7,10,0,6.0,7.0,7.0,5.0,4.0,8.0,7,2
5,0,21,8,1,7,10,1,5.0,6.0,7.0,5.0,7.0,8.0,7,2
5,0,21,8,1,7,10,1,6.0,6.0,8.0,5.0,5.0,6.0,7,2
5,0,21,8,1,7,10,1,5.0,5.0,7.0,6.0,7.0,5.0,7,2
5,0,21,8,1,7,10,1,7.0,5.0,7.0,8.0,7.0,9.0,7,2
5,0,21,8,1,7,10,1,9.0,6.0,7.0,9.0,6.0,5.0,7,2
6,0,23,1,1,4,3,1,6.0,9.0,7.0,6.0,7.0,6.0,3,3
6,0,23,1,1,4,3,1,6.0,9.0,9.0,6.0,8.0,2.0,3,3
6,0,23,1,1,4,3,0,4.0,7.0,9.0,4.0,3.0,2.0,3,3
6,0,23,1,1,4,3,1,8.0,6.0,7.0,8.0,2.0,8.0,3,3
6,0,23,1,1,4,3,0,5.0,4.0,8.0,8.0,4.0,2.0,3,3
6,0,23,1,1,4,3,0,3.0,7.0,6.0,1.0,1.0,1.0,3,3
6,0,23,1,1,4,3,1,8.0,8.0,8.0,8.0,3.0,4.0,3,3
